FirstName,SecondName,4-LetterCode
Buff-throated,Saltator,BTSA
Bufflehead,,BUFF
Buffy,Tuftedcheek,BUTU
Buffy-crowned,Wood-Partridge,BCWP
Buller's,Shearwater,BULS
Bullock's,Oriole,BUOR
Bulwer's,Petrel,BUPE
Bumblebee,Hummingbird,BUHU
Burrowing,Owl,BUOW
Bushtit,,BUSH
Bushy-crested,Jay,BCRJ
Cabanis's,Ground-Sparrow,CAGS
Cabanis's,Wren,CABW
Cackling,Goose,CACG
Cactus,Wren,CACW
California,Condor,CACO
California,Gnatcatcher,CAGN
California,Gull,CAGU
California,Quail,CAQU
California,Scrub-Jay,CASJ
California,Thrasher,CATH
California,Towhee,CALT
Calliope,Hummingbird,CAHU
Canada,Goose,CANG
Canada,Jay,CAJA
Canada,Warbler,CAWA
Canebrake,Wren,CAKW
Canivet's,Emerald,CAEM
Canvasback,,CANV
Canyon,Towhee,CANT
Canyon,Wren,CANW
Cape May,Warbler,CMWA
Cape Verde,Shearwater,CVSH
Capped,Heron,CAHE
Carib,Grackle,CAGR
Caribbean,Dove,CADO
Caribbean,Elaenia,CAEL
Caribbean,Martin,CAMA
Carmiol's,Tanager,CATA
Carolina,Chickadee,CACH
Carolina,Parakeet,CAPA
Carolina,Wren,CARW
Caspian,Tern,CATE
Cassia,Crossbill,CACR
Cassin's,Auklet,CAAU
Cassin's,Finch,CAFI
Cassin's,Kingbird,CAKI
Cassin's,Sparrow,CASP
Cassin's,Vireo,CAVI
Cattle,Egret,CAEG
Cattle,Tyrant,CATY
Cave,Swallow,CASW
Cedar,Waxwing,CEDW
Central American,Pygmy-Owl,CAPO
Cerulean,Warbler,CERW
Chapman's,Swift,CHAS
Charming,Hummingbird,CHHU
Chatham,Albatross,CHAL
Checker-throated,Antwren,CTAN
Chestnut,Munia,CHMU
Chestnut-backed,Antbird,CBAN
Chestnut-backed,Chickadee,CBCH
Chestnut-bellied,Cuckoo,CBCU
Chestnut-bellied,Sandgrouse,CBSA
Chestnut-capped,Brushfinch,CCBR
Chestnut-collared,Longspur,CCLO
Chestnut-collared,Swift,CCSW
Chestnut-colored,Woodpecker,CCOW
Chestnut-fronted,Macaw,CFMA
Chestnut-headed,Oropendola,CHOR
Chestnut-sided,Shrike-Vireo,CSSV
Chestnut-sided,Warbler,CSWA
Chihuahuan,Raven,CHRA
Chimney,Swift,CHSW
Chinese,Egret,CHEG
Chinese,Pond-Heron,CHPH
Chinese,Sparrowhawk,CHIS
Chipping,Sparrow,CHSP
Chiriqui,Foliage-gleaner,CHFG
Chiriqui,Quail-Dove,CHQD
Choco,Screech-Owl,CHSO
Choco,Sirystes,CHSI
Choco,Tapaculo,CHTA
Choco,Tinamou,CHTI
Christmas,Shearwater,CHSH
Chuck-will's-widow,,CWWI
Chukar,,CHUK
Cinereous,Becard,CIRB
Cinnamon,Becard,CIMB
Cinnamon,Hummingbird,CIHU
Cinnamon,Teal,CITE
Cinnamon,Woodpecker,CIWO
Cinnamon-bellied,Flowerpiercer,CBFL
Cinnamon-rumped,Seedeater,CRSE
Cinnamon-tailed,Sparrow,CTSP
Citreoline,Trogon,CITR
Citrine,Wagtail,CIWA
Clapper,Rail,CLRA
Clarion,Wren,CLWR
Clark's,Grebe,CLGR
Clark's,Nutcracker,CLNU
Clay-colored,Sparrow,CCSP
Clay-colored,Thrush,CCTH
Cliff,Swallow,CLSW
Cocoa,Thrush,COCT
Cocoa,Woodcreeper,COWO
Cocoi,Heron,COHE
Cocos,Cuckoo,COCC
Cocos,Finch,COFI
Cocos,Flycatcher,COCF
Coiba,Spinetail,COSP
Colima,Pygmy-Owl,CPYO
Colima,Warbler,COLW
Collared,Aracari,COAR
Collared,Forest-Falcon,COFF
Collared,Plover,COPL
Collared,Pratincole,COPR
Collared,Redstart,COLR
Collared,Towhee,COTO
Collared,Trogon,COTR
Colombian,Crake,COLC
Comb,Duck,CODU
Common Black,Hawk,COBH
Common,Chaffinch,CCHA
Common,Chiffchaff,CCHI
Common,Chlorospingus,COCL
Common,Crane,CCRA
Common,Cuckoo,COCU
Common,Eider,COEI
Common,Gallinule,COGA
Common,Goldeneye,COGO
Common,Grackle,COGR
Common,Greenshank,COMG
Common Ground,Dove,CGDO
Common,House-Martin,COHM
Common,Loon,COLO
Common,Merganser,COME
Common,Moorhen,COMO
Common,Murre,COMU
Common,Myna,COMY
Common,Nighthawk,CONI
Common,Pauraque,COPA
Common,Pochard,COMP
Common,Poorwill,COPO
Common,Potoo,CPOT
Common,Raven,CORA
Common,Redpoll,CORE
Common,Redshank,CREH
Common,Redstart,CRET
Common Ringed,Plover,CRPL
Common,Rosefinch,CORO
Common,Sandpiper,COSA
Common,Scoter,COSC
Common,Shelduck,COMS
Common,Snipe,COSN
Common,Swift,COSW
Common,Tern,COTE
Common,Tody-Flycatcher,COTF
Common,Waxbill,COMW
Common,Yellowthroat,COYE
Connecticut,Warbler,CONW
Cook's,Petrel,COPE
Cooper's,Hawk,COHA
Coppery-headed,Emerald,CHEM
Cordilleran,Flycatcher,COFL
Corn,Crake,CORC
Cory's,Shearwater,CORS
Costa Rican,Brushfinch,CRBR
Costa Rican,Pygmy-Owl,CRPO
Costa Rican,Swift,CRSW
Costa Rican,Warbler,CRWA
Costa's,Hummingbird,COHU
Couch's,Kingbird,COKI
Cozumel,Emerald,COEM
Cozumel,Thrasher,COZT
Cozumel,Vireo,COVI
Crane,Hawk,CRHA
Craveri's,Murrelet,CRMU
Crescent-chested,Warbler,CCWA
Crested,Auklet,CRAU
Crested,Bobwhite,CRBO
Crested,Caracara,CRCA
Crested,Eagle,CREA
Crested,Guan,CRGU
Crested,Oropendola,CROR
Crested,Owl,CROW
Crested,Quail-Dove,CRQD
Crimson-backed,Tanager,CBTA
Crimson-bellied,Woodpecker,CBWO
Crimson-collared,Grosbeak,CCGR
Crimson-collared,Tanager,CCTA
Crimson-crested,Woodpecker,CCRW
Crimson-fronted,Parakeet,CFPA
Crissal,Thrasher,CRTH
Crowned Slaty,Flycatcher,CSFL
Crowned,Woodnymph,CRWO
Cuban Black,Hawk,CUBH
Cuban,Blackbird,CUBL
Cuban,Bullfinch,CUBU
Cuban,Crow,CUCR
Cuban,Emerald,CUEM
Cuban,Gnatcatcher,CUGN
Cuban,Grassquit,CUGR
Cuban Green,Woodpecker,CGWO
Cuban,Macaw,CUBM
Cuban,Martin,CUMA
Cuban,Oriole,CUOR
Cuban,Parakeet,CPAK
Cuban,Parrot,CPAT
Cuban,Pewee,CUPE
Cuban,Pygmy-Owl,CUPO
Cuban,Solitaire,CUSO
Cuban,Tody,CUTO
Cuban,Trogon,CUTR
Cuban,Vireo,CUVI
Curlew,Sandpiper,CUSA
Curve-billed,Thrasher,CBTH
Dark,Pewee,DAPE
Dark-billed,Cuckoo,DBCU
Dark-eyed,Junco,DEJU
Dark-sided,Flycatcher,DSFL
Dickcissel,,DICK
Dot-winged,Antwren,DWAN
Double-banded,Graytail,DBGR
Double-crested,Cormorant,DCCO
Double-striped,Thick-knee,DSTK
Double-toothed,Kite,DTKI
Dovekie,,DOVE
Downy,Woodpecker,DOWO
Dull-mantled,Antbird,DMAN
Dunlin,,DUNL
Dusky,Antbird,DUAN
Dusky,Flycatcher,DUFL
Dusky,Grouse,DUGR
Dusky,Hummingbird,DUHU
Dusky,Nightjar,DUNI
Dusky,Pigeon,DUPI
Dusky,Thrush,DUTH
Dusky,Warbler,DUWA
Dusky-backed,Jacamar,DBJA
Dusky-capped,Flycatcher,DCFL
Dusky-faced,Tanager,DFTA
Dwarf,Cuckoo,DWCU
Dwarf,Jay,DWJA
Dwarf,Vireo,DWVI
Eared,Dove,EADO
Eared,Grebe,EAGR
Eared,Poorwill,EAPO
Eared,Quetzal,EAQU
Eastern,Bluebird,EABL
Eastern,Chat-Tanager,EACT
Eastern,Kingbird,EAKI
Eastern,Meadowlark,EAME
Eastern,Phoebe,EAPH
Eastern,Screech-Owl,EASO
Eastern Spot-billed,Duck,ESBD
Eastern,Towhee,EATO
Eastern,Whip-poor-will,EWPW
Eastern,Wood-Pewee,EAWP
Eastern Yellow,Wagtail,EYWA
Egyptian,Goose,EGGO
Elegant,Euphonia,ELEU
Elegant,Quail,ELQU
Elegant,Tern,ELTE
Elegant,Trogon,ELTR
Elf,Owl,ELOW
Elfin-woods,Warbler,EWWA
Emerald,Tanager,EMTA
Emerald-chinned,Hummingbird,ECHU
Emperor,Goose,EMGO
Erckel's,Francolin,ERFR
Eskimo,Curlew,ESCU
Euler's,Flycatcher,EUFL
Eurasian,Blackbird,EUBB
Eurasian,Blackcap,EUBC
Eurasian,Bullfinch,EUBU
Eurasian,Collared-Dove,EUCD
Eurasian,Coot,EUCO
Eurasian,Curlew,EUCU
Eurasian,Dotterel,EUDO
Eurasian,Hobby,EHOB
Eurasian,Hoopoe,EHOO
Eurasian,Jackdaw,EUJA
Eurasian,Kestrel,EUKE
Eurasian,Oystercatcher,EUOY
Eurasian,Siskin,EUSI
Eurasian,Skylark,EUSK
Eurasian,Spoonbill,EURS
Eurasian Tree,Sparrow,ETSP
Eurasian,Wigeon,EUWI
Eurasian,Woodcock,EUWO
Eurasian,Wryneck,EUWR
European,Golden-Plover,EUGP
European,Goldfinch,EUGO
European,Robin,EURO
European,Starling,EUST
European,Storm-Petrel,EUSP
European,Turtle-Dove,EUTD
Evening,Grosbeak,EVGR
Eye-ringed,Flatbill,ERFL
Eyebrowed,Thrush,EYTH
Falcated,Duck,FADU
Fan-tailed,Warbler,FTWA
Far Eastern,Curlew,FECU
Fasciated,Antshrike,FAAN
Fasciated,Tiger-Heron,FTHE
Fea's,Petrel,FEPE
Fernandina's,Flicker,FEFL
Ferruginous,Hawk,FEHA
Ferruginous,Pygmy-Owl,FEPO
Field,Sparrow,FISP
Fieldfare,,FIEL
Fiery-billed,Aracari,FBAR
Fiery-throated,Hummingbird,FTHU
Fish,Crow,FICR
Five-striped,Sparrow,FSSP
Flame-colored,Tanager,FCTA
Flame-rumped,Tanager,FRTA
Flame-throated,Warbler,FTHW
Flammulated,Flycatcher,FLFL
Flammulated,Owl,FLOW
Flat-billed,Vireo,FBVI
Flesh-footed,Shearwater,FFSH
Florida,Scrub-Jay,FLSJ
Forest,Elaenia,FOEL
Forest,Thrush,FOTH
Fork-tailed,Flycatcher,FTFL
Fork-tailed,Storm-Petrel,FTSP
Fork-tailed,Swift,FTSW
Forster's,Tern,FOTE
Fox,Sparrow,FOSP
Franklin's,Gull,FRGU
Fulvous,Owl,FUOW
Fulvous,Whistling-Duck,FUWD
Fulvous-vented,Euphonia,FVEU
Gadwall,,GADW
Galapagos,Petrel,GAPE
Galapagos,Shearwater,GASH
Gambel's,Quail,GAQU
Garden,Emerald,GAEM
Garganey,,GARG
Garnet-throated,Hummingbird,GATH
Gartered,Trogon,GATR
Giant,Cowbird,GICO
Giant,Kingbird,GIKI
Giant,Wren,GIWR
Gila,Woodpecker,GIWO
Gilded,Flicker,GIFL
Glaucous,Gull,GLGU
Glaucous-winged,Gull,GWGU
Glossy,Ibis,GLIB
Glow-throated,Hummingbird,GLTH
Golden,Eagle,GOEA
Golden,Swallow,GOSW
Golden,Vireo,GOVI
Golden-bellied,Flycatcher,GBFL
Golden-browed,Chlorophonia,GBCH
Golden-browed,Warbler,GBWA
Golden-cheeked,Warbler,GCWA
Golden-cheeked,Woodpecker,GCHW
Golden-collared,Manakin,GCMA
Golden-crowned,Emerald,GCEM
Golden-crowned,Flycatcher,GOCF
Golden-crowned,Kinglet,GCKI
Golden-crowned,Spadebill,GCRS
Golden-crowned,Sparrow,GCSP
Golden-crowned,Warbler,GCRW
Golden-fronted,Greenlet,GFGR
Golden-fronted,Woodpecker,GFWO
Golden-green,Woodpecker,GGWO
Golden-headed,Manakin,GHMA
Golden-headed,Quetzal,GHQU
Golden-hooded,Tanager,GHOT
Golden-naped,Woodpecker,GNWO
Golden-olive,Woodpecker,GOWO
Golden-winged,Warbler,GWWA
Grace's,Warbler,GRWA
Grand Cayman,Thrush,GCAT
Grasshopper,Sparrow,GRSP
Grassland,Yellow-Finch,GRYF
Gray,Bunting,GRBU
Gray,Catbird,GRCA
Gray,Elaenia,GRAE
Gray,Flycatcher,GRFL
Gray,Francolin,GRAF
Gray,Gull,GRGU
Gray,Hawk,GRHA
Gray,Heron,GRAH
Gray,Kingbird,GRAK
Gray,Nightjar,GRNI
Gray,Partridge,GRAP
Gray,Silky-flycatcher,GRSF
Gray,Thrasher,GRAT
Gray,Trembler,GRTR
Gray,Vireo,GRVI
Gray,Wagtail,GRAW
Gray-and-gold,Tanager,GAGT
Gray-backed,Tern,GBAT
Gray-barred,Wren,GBWR
Gray-bellied,Hawk,GBEH
Gray-breasted,Crake,GBCR
Gray-breasted,Martin,GYBM
Gray-breasted,Wood-Wren,GBWW
Gray-breasted,Woodpecker,GBWO
Gray-capped,Cuckoo,GCCU
Gray-capped,Flycatcher,GCAF
Gray-cheeked,Nunlet,GCNU
Gray-cheeked,Thrush,GCTH
Gray-chested,Dove,GCDO
Gray-collared,Becard,GCBE
Gray-cowled,Wood-Rail,GCWR
Gray-crowned,Palm-Tanager,GCPT
Gray-crowned,Rosy-Finch,GCRF
Gray-crowned,Woodpecker,GRCW
Gray-crowned,Yellowthroat,GCYE
Gray-faced,Petrel,GFPE
Gray-fronted,Quail-Dove,GFQD
Gray-headed,Chachalaca,GHEC
Gray-headed,Chickadee,GHCH
Gray-headed,Dove,GHDO
Gray-headed,Kite,GHKI
Gray-headed,Piprites,GHPI
Gray-headed,Tanager,GHET
Gray-hooded,Gull,GHGU
Gray-lined,Hawk,GLHA
Gray-rumped,Swift,GRSW
Gray-streaked,Flycatcher,GSFL
Gray-tailed,Tattler,GTTA
Gray-throated,Chat,GTCH
Gray-throated,Leaftosser,GTLE
Grayish,Saltator,GRAS
Graylag,Goose,GRGO
Great,Antshrike,GANT
Great,Auk,GRAU
Great Black,Hawk,GBHA
Great Black-backed,Gull,GBBG
Great Blue,Heron,GBHE
Great,Cormorant,GRCO
Great Crested,Flycatcher,GCFL
Great Crested,Tern,GCTE
Great,Curassow,GRCU
Great,Egret,GREG
Great,Frigatebird,GREF
Great Gray,Owl,GGOW
Great Green,Macaw,GGMA
Great Horned,Owl,GHOW
Great,Jacamar,GREJ
Great,Kiskadee,GKIS
Great,Knot,GRKN
Great,Lizard-Cuckoo,GRLC
Great,Potoo,GRPO
Great,Shearwater,GRSH
Great,Skua,GRSK
Great Spotted,Woodpecker,GSWO
Great Swallow-tailed,Swift,GSTS
Great,Tinamou,GRTI
Great-tailed,Grackle,GTGR
Greater,Amakihi,GRAM
Greater,Ani,GRTA
Greater Antillean,Bullfinch,GABU
Greater Antillean,Elaenia,GAEL
Greater Antillean,Grackle,GAGR
Greater Antillean,Nightjar,GANI
Greater,Koa-Finch,GRKF
Greater Necklaced,Laughingthrush,GNLA
Greater,Pewee,GRPE
Greater,Prairie-Chicken,GRPC
Greater,Roadrunner,GRRO
Greater,Sage-Grouse,GRSG
Greater,Sand-Plover,GSAP
Greater,Scaup,GRSC
