FirstName,SecondName,4-LetterCode
Sooty-headed,Tyrannulet,SHTY
Sooty-headed,Wren,SHWR
Sora,,SORA
South Polar,Skua,SPSK
Southern,Beardless-Tyrannulet,SOBT
Southern,Bentbill,SOBE
Southern,Lapwing,SOLA
Southern,Martin,SOMA
Southern Rough-winged,Swallow,SRWS
Spangle-cheeked,Tanager,SCHT
Sparkling-tailed,Hummingbird,SKTH
Speckled,Mourner,SPMO
Speckled,Tanager,SPTA
Spectacled,Eider,SPEI
Spectacled,Owl,SPEO
Spectacled,Parrotlet,SPPA
Spectacled,Thrush,SPTH
Spiny-faced,Antshrike,SFAN
Spoon-billed,Sandpiper,SBSA
Spot-breasted,Oriole,SBOR
Spot-breasted,Woodpecker,SBWP
Spot-breasted,Wren,SBSW
Spot-crowned,Antvireo,SPCA
Spot-crowned,Barbet,SCBA
Spot-crowned,Euphonia,SPCE
Spot-crowned,Woodcreeper,SCRW
Spot-fronted,Swift,SFSW
Spot-tailed,Nightjar,SPTN
Spotted,Antbird,SPAN
Spotted,Barbtail,SPBA
Spotted,Crake,SPCR
Spotted,Dove,SPDO
Spotted,Flycatcher,SPFL
Spotted,Nightingale-Thrush,SPNT
Spotted,Owl,SPOW
Spotted,Rail,SPRA
Spotted,Redshank,SPRE
Spotted,Sandpiper,SPSA
Spotted,Towhee,SPTO
Spotted,Wood-Quail,SPWQ
Spotted,Woodcreeper,SPWO
Spotted,Wren,SPWR
Sprague's,Pipit,SPPI
Spruce,Grouse,SPGR
Squirrel,Cuckoo,SQCU
St.,,SLBF
St. Lucia,Oriole,SLOR
St. Lucia,Parrot,SLPA
St. Lucia,Warbler,SLWA
St. Vincent,Parrot,SVPA
Stejneger's,Petrel,STPE
Stejneger's,Scoter,STSC
Steller's,Eider,STEI
Steller's,Jay,STJA
Steller's,Sea-Eagle,STSE
Stilt,Sandpiper,STSA
Stolid,Flycatcher,STOF
Stonechat,,STON
Straight-billed,Woodcreeper,SGBW
Streak-backed,Oriole,SBAO
Streak-breasted,Treehunter,SBTR
Streak-chested,Antpitta,SCHA
Streak-crowned,Antvireo,STCA
Streak-headed,Woodcreeper,SHWO
Streaked,Flycatcher,STRF
Streaked,Saltator,SSAL
Streaked,Shearwater,STRS
Streaked,Xenops,STXE
Streamertail,,STRM
Striated,Heron,STRH
Strickland's,Woodpecker,STCW
Stripe-breasted,Wren,SIBW
Stripe-cheeked,Woodpecker,SCHW
Stripe-headed,Sparrow,SHSP
Stripe-tailed,Hummingbird,STHM
Stripe-throated,Hermit,STHR
Stripe-throated,Wren,STWR
Striped,Cuckoo,STCU
Striped,Owl,STRO
Striped,Sparrow,SSPA
Striped,Woodhaunter,STPW
Strong-billed,Woodcreeper,SNBW
Stub-tailed,Spadebill,SBTS
Stygian,Owl,STOW
Sulphur-bellied,Flycatcher,SBFL
Sulphur-rumped,Flycatcher,SRFL
Sulphur-rumped,Tanager,SURT
Sulphur-winged,Parakeet,SWPA
Sumichrast's,Wren,SUWR
Summer,Tanager,SUTA
Sunbittern,,SUNB
Sungrebe,,SUNG
Surf,Scoter,SUSC
Surfbird,,SURF
Swainson's,Hawk,SWHA
Swainson's,Thrush,SWTH
Swainson's,Warbler,SWWA
Swallow,Tanager,SWTA
Swallow-tailed,Gull,STGU
Swallow-tailed,Kite,STKI
Swamp,Sparrow,SWSP
Swinhoe's,Storm-Petrel,SSTP
Tacarcuna,Chlorospingus,TACH
Tacarcuna,Tapaculo,TATA
Tacarcuna,Warbler,TAWA
Tacarcuna,Wood-Quail,TAWQ
Tahiti,Petrel,TAPE
Taiga,Bean-Goose,TABG
Taiga,Flycatcher,TAFL
Talamanca,Hummingbird,TAHU
Tamaulipas,Crow,TACR
Tamaulipas,Pygmy-Owl,TAPO
Tawny-breasted,Flycatcher,TBFL
Tawny-capped,Euphonia,TCEU
Tawny-chested,Flycatcher,TCFL
Tawny-collared,Nightjar,TCNI
Tawny-crested,Tanager,TCTA
Tawny-crowned,Greenlet,TCGR
Tawny-faced,Gnatwren,TFGN
Tawny-faced,Quail,TFQU
Tawny-shouldered,Blackbird,TSBL
Tawny-throated,Leaftosser,TTLE
Tawny-winged,Woodcreeper,TWWO
Temminck's,Stint,TEST
Tennessee,Warbler,TEWA
Terek,Sandpiper,TESA
Thick-billed,Euphonia,TBEU
Thick-billed,Kingbird,TBKI
Thick-billed,Murre,TBMU
Thick-billed,Parrot,TBPA
Thick-billed,Seed-Finch,TBSF
Thick-billed,Vireo,TBVI
Thick-billed,Warbler,TBWA
Thicket,Antpitta,THAN
Thicket,Tinamou,THTI
Three-wattled,Bellbird,TWBE
Timberline,Wren,TIWR
Tiny,Hawk,TIHA
Tody,Motmot,TOMO
Tooth-billed,Hummingbird,TBHU
Torrent,Tyrannulet,TOTY
Townsend's,Shearwater,TOSH
Townsend's,Solitaire,TOSO
Townsend's,Storm-Petrel,TOSP
Townsend's,Warbler,TOWA
Transvolcanic,Jay,TRJA
Tree,Pipit,TRPI
Tree,Swallow,TRES
Tricolored,Blackbird,TRBL
Tricolored,Heron,TRHE
Tricolored,Munia,TRMU
Trindade,Petrel,TRPE
Tristram's,Storm-Petrel,TRSP
Tropical,Gnatcatcher,TRGN
Tropical,Kingbird,TRKI
Tropical,Mockingbird,TRMO
Tropical,Parula,TRPA
Tropical,Pewee,TROP
Tropical,Screech-Owl,TRSO
Trumpeter,Swan,TRUS
Tufted,Duck,TUDU
Tufted,Flycatcher,TUFL
Tufted,Jay,TUJA
Tufted,Puffin,TUPU
Tufted,Titmouse,TUTI
Tundra,Bean-Goose,TUBG
Tundra,Swan,TUSW
Turkey,Vulture,TUVU
Turquoise,Cotinga,TUCO
Turquoise-browed,Motmot,TBMO
Tuxtla,Quail-Dove,TUQD
Ula-ai-hawane,,UAIH
Unicolored,Jay,UNJA
Uniform,Crake,UNIC
Unspotted Saw-whet,Owl,USWO
Upland,Sandpiper,UPSA
Variable,Seedeater,VASE
Varied,Bunting,VABU
Varied,Solitaire,VASO
Varied,Thrush,VATH
Variegated,Flycatcher,VAFL
Vaux's,Swift,VASW
Veery,,VEER
Velvet,Scoter,VESC
Venezuelan,Troupial,VETR
Veraguan,Mango,VEMA
Verdin,,VERD
Vermilion,Flycatcher,VEFL
Vervain,Hummingbird,VEHU
Vesper,Sparrow,VESP
Village,Weaver,VIWE
Violaceous,Quail-Dove,VIQD
Violet,Sabrewing,VISA
Violet-bellied,Hummingbird,VBHU
Violet-capped,Hummingbird,VCAH
Violet-crowned,Hummingbird,VCHU
Violet-green,Swallow,VGSW
Violet-headed,Hummingbird,VHHU
Virginia,Rail,VIRA
Virginia's,Warbler,VIWA
Viridian,Dacnis,VIDA
Vitelline,Warbler,VITW
Volcano,Hummingbird,VOHU
Volcano,Junco,VOJU
Wandering,Albatross,WAAL
Wandering,Tattler,WATA
Warbling,Vireo,WAVI
Wattled,Jacana,WAJA
Waved,Albatross,WAVA
Wedge-billed,Woodcreeper,WBWO
Wedge-rumped,Storm-Petrel,WRSP
Wedge-tailed,Grass-Finch,WTGF
Wedge-tailed,Sabrewing,WTSA
Wedge-tailed,Shearwater,WTSH
West Indian,Whistling-Duck,WIWD
West Indian,Woodpecker,WIWO
West Mexican,Chachalaca,WMCH
Western,Bluebird,WEBL
Western,Chat-Tanager,WECT
Western,Grebe,WEGR
Western,Gull,WEGU
Western,Kingbird,WEKI
Western Marsh,Harrier,WMHA
Western,Meadowlark,WEME
Western,Reef-Heron,WERH
Western,Sandpiper,WESA
Western,Screech-Owl,WESO
Western,Spindalis,WESP
Western,Tanager,WETA
Western,Water-Rail,WEWR
Western,Wood-Pewee,WEWP
Whimbrel,,WHIM
Whiskered,Auklet,WHAU
Whiskered,Screech-Owl,WHSO
Whiskered,Tern,WHST
Whistling,Heron,WHHE
Whistling,Warbler,WHIW
White,Hawk,WHHA
White,Ibis,WHIB
White,Tern,WHTT
White,Wagtail,WHWA
White's,Thrush,WHTH
White-bellied,Antbird,WBEA
White-bellied,Chachalaca,WBCH
White-bellied,Emerald,WBEM
White-bellied,Mountain-gem,WBMG
White-bellied,Wren,WBWR
White-breasted,Nuthatch,WBNU
White-breasted,Thrasher,WBTH
White-breasted,Wood-Wren,WBWW
White-capped,Albatross,WCAL
White-cheeked,Pintail,WCHP
White-chinned,Petrel,WCPE
White-chinned,Swift,WCHS
White-chinned,Thrush,WCTH
White-collared,Manakin,WCOM
White-collared,Swift,WCSW
White-crested,Coquette,WCCO
White-crested,Elaenia,WCEL
White-crowned,Manakin,WCRM
White-crowned,Parrot,WCPA
White-crowned,Pigeon,WCPI
White-crowned,Sparrow,WCSP
White-eared,Conebill,WECO
White-eared,Ground-Sparrow,WEGS
White-eared,Hummingbird,WEHU
White-eyed,Thrush,WETH
White-eyed,Vireo,WEVI
White-faced,Ground-Sparrow,WFGS
White-faced,Ibis,WFIB
White-faced,Quail-Dove,WFAQ
White-faced,Storm-Petrel,WFSP
White-faced,Whistling-Duck,WFWD
White-flanked,Antwren,WFLA
White-fringed,Antwren,WFRA
White-fronted,Nunbird,WFNU
White-fronted,Parrot,WFPA
White-fronted,Quail-Dove,WFRQ
White-fronted,Swift,WFSW
White-headed,Woodpecker,WHWO
White-headed,Wren,WHWR
White-lined,Tanager,WLTA
White-lored,Gnatcatcher,WLGN
White-naped,Brushfinch,WNBR
White-naped,Swift,WNSW
White-necked,Crow,WNCR
White-necked,Jacobin,WNJA
White-necked,Petrel,WNPE
White-necked,Puffbird,WNPU
White-ringed,Flycatcher,WRFL
White-ruffed,Manakin,WRMA
White-rumped,Sandpiper,WRSA
White-rumped,Shama,WRSH
White-shouldered,Tanager,WSTA
White-striped,Woodcreeper,WSWO
White-tailed,Eagle,WTEA
White-tailed,Emerald,WTEM
White-tailed,Hawk,WTHA
White-tailed,Hummingbird,WTAH
White-tailed,Kite,WTKI
White-tailed,Nightjar,WTNI
White-tailed,Ptarmigan,WTPT
White-tailed,Trogon,WTAT
White-tailed,Tropicbird,WTTR
White-thighed,Swallow,WTGS
White-throated,Crake,WTCR
White-throated,Flycatcher,WTFL
White-throated,Jay,WTJA
White-throated,Magpie-Jay,WTMJ
White-throated,Mountain-gem,WTMG
White-throated,Needletail,WTNE
White-throated,Shrike-Tanager,WTST
White-throated,Spadebill,WTRS
White-throated,Sparrow,WTSP
White-throated,Swift,WTSW
White-throated,Thrush,WTTH
White-throated,Towhee,WTTO
White-tipped,Dove,WTDO
White-tipped,Sicklebill,WTSI
White-vented,Euphonia,WVEU
White-vented,Plumeleteer,WVPL
White-whiskered,Puffbird,WWPU
White-winged,Becard,WWBE
White-winged,Crossbill,WWCR
White-winged,Dove,WWDO
White-winged,Parakeet,WWPA
White-winged,Scoter,WWSC
White-winged,Tanager,WWTA
White-winged,Tern,WWTE
White-winged,Warbler,WWWA
Whooper,Swan,WHOS
Whooping,Crane,WHCR
Whooping,Motmot,WHMO
Wild,Turkey,WITU
Willet,,WILL
Williamson's,Sapsucker,WISA
Willow,Flycatcher,WIFL
Willow,Ptarmigan,WIPT
Willow,Warbler,WILW
Wilson's,Phalarope,WIPH
Wilson's,Plover,WIPL
Wilson's,Snipe,WISN
Wilson's,Storm-Petrel,WISP
Wilson's,Warbler,WIWA
Wine-throated,Hummingbird,WTHH
Wing-banded,Antbird,WBAA
Winter,Wren,WIWR
Wood,Duck,WODU
Wood,Sandpiper,WOSA
Wood,Stork,WOST
Wood,Thrush,WOTH
Wood,Warbler,WOWA
Woodhouse's,Scrub-Jay,WOSJ
Worm-eating,Warbler,WEWA
Worthen's,Sparrow,WOSP
Wrenthrush,,WRET
Wrentit,,WREN
Xantus's,Hummingbird,XAHU
Yellow,Bittern,YEBI
Yellow,Grosbeak,YEGR
Yellow,Rail,YERA
Yellow,Tyrannulet,YETY
Yellow,Warbler,YEWA
Yellow-backed,Oriole,YBOR
Yellow-backed,Tanager,YBTA
Yellow-bellied,Elaenia,YBEL
Yellow-bellied,Flycatcher,YBFL
Yellow-bellied,Sapsucker,YBSA
Yellow-bellied,Seedeater,YBSE
Yellow-bellied,Siskin,YBSI
Yellow-bellied,Tyrannulet,YBTY
Yellow-billed,Cacique,YBIC
Yellow-billed,Cardinal,YBCA
Yellow-billed,Cotinga,YBCO
Yellow-billed,Cuckoo,YBCU
Yellow-billed,Loon,YBLO
Yellow-billed,Magpie,YBMA
Yellow-billed,Parrot,YBPA
Yellow-billed,Tern,YBTE
Yellow-breasted,Bunting,YBSB
Yellow-breasted,Chat,YBCH
Yellow-breasted,Crake,YBCR
Yellow-breasted,Flycatcher,YBRF
Yellow-browed,Bunting,YBWB
Yellow-browed,Shrike-Vireo,YBSV
Yellow-browed,Warbler,YBWA
Yellow-collared,Chlorophonia,YCCH
Yellow-crowned,Bishop,YCBI
Yellow-crowned,Euphonia,YCEU
Yellow-crowned,Night-Heron,YCNH
Yellow-crowned,Parrot,YCPA
Yellow-crowned,Tyrannulet,YCTY
Yellow-eared,Toucanet,YETO
Yellow-eyed,Junco,YEJU
Yellow-faced,Grassquit,YFGR
Yellow-footed,Gull,YFGU
Yellow-fronted,Canary,YFCA
Yellow-green,Brushfinch,YGBR
Yellow-green,Grosbeak,YGGR
Yellow-green,Tyrannulet,YGTY
Yellow-green,Vireo,YGVI
Yellow-headed,Blackbird,YHBL
Yellow-headed,Caracara,YHCA
Yellow-headed,Parrot,YHPA
Yellow-headed,Warbler,YHWA
Yellow-hooded,Blackbird,YHOB
Yellow-legged,Gull,YLGU
Yellow-lored,Parrot,YLPA
Yellow-margined,Flycatcher,YMFL
Yellow-naped,Parrot,YNPA
Yellow-nosed,Albatross,YNAL
Yellow-olive,Flycatcher,YOFL
Yellow-rumped,Cacique,YRCA
Yellow-rumped,Warbler,YRWA
Yellow-shouldered,Blackbird,YSBL
Yellow-shouldered,Grassquit,YSGR
Yellow-tailed,Oriole,YTOR
Yellow-thighed,Brushfinch,YTBR
Yellow-throated,Bunting,YTBU
Yellow-throated,Chlorospingus,YTCH
Yellow-throated,Euphonia,YTEU
Yellow-throated,Toucan,YTTO
Yellow-throated,Vireo,YTVI
Yellow-throated,Warbler,YTWA
Yellow-winged,Cacique,YWCA
Yellow-winged,Tanager,YWTA
Yellow-winged,Vireo,YWVI
Yellowish,Flycatcher,YEFL
Yellowish,Pipit,YEPI
Yucatan,Flycatcher,YUFL
Yucatan,Gnatcatcher,YUGN
Yucatan,Jay,YUJA
Yucatan,Nightjar,YUNI
Yucatan,Poorwill,YUPO
Yucatan,Vireo,YUVI
Yucatan,Woodpecker,YUWO
Yucatan,Wren,YUWR
Zapata,Rail,ZARA
Zapata,Sparrow,ZASP
Zapata,Wren,ZAWR
Zebra,Dove,ZEBD
Zeledon's,Antbird,ZEAN
Zenaida,Dove,ZEND
Zino's,Petrel,ZIPE
Zone-tailed,Hawk,ZTHA
